timestamp,frame_number,status,method,contour_count,person_count
2026-07-09 09:59:26.159,760,MOTION DETECTED,Background Subtraction (KNN),27,27
2026-07-09 09:59:26.193,761,MOTION DETECTED,Background Subtraction (KNN),28,28
2026-07-09 09:59:26.236,762,MOTION DETECTED,Background Subtraction (KNN),28,28
2026-07-09 09:59:26.285,763,MOTION DETECTED,Background Subtraction (KNN),30,30
2026-07-09 09:59:26.337,764,MOTION DETECTED,Background Subtraction (KNN),32,32
2026-07-09 09:59:26.390,765,MOTION DETECTED,Background Subtraction (KNN),31,31
2026-07-09 09:59:26.427,766,MOTION DETECTED,Background Subtraction (KNN),36,36
2026-07-09 09:59:26.475,767,MOTION DETECTED,Background Subtraction (KNN),36,36
2026-07-09 09:59:26.513,768,MOTION DETECTED,Background Subtraction (KNN),32,32
2026-07-09 09:59:26.544,769,MOTION DETECTED,Background Subtraction (KNN),32,32
2026-07-09 09:59:26.578,770,MOTION DETECTED,Background Subtraction (KNN),32,32
2026-07-09 09:59:26.608,771,MOTION DETECTED,Background Subtraction (KNN),34,34
2026-07-09 09:59:26.642,772,MOTION DETECTED,Background Subtraction (KNN),32,32
2026-07-09 09:59:26.677,773,MOTION DETECTED,Background Subtraction (KNN),34,34
2026-07-09 09:59:26.711,774,MOTION DETECTED,Background Subtraction (KNN),33,33
2026-07-09 09:59:26.751,775,MOTION DETECTED,Background Subtraction (KNN),34,34
2026-07-09 09:59:26.803,776,MOTION DETECTED,Background Subtraction (KNN),36,36
2026-07-09 09:59:26.845,777,MOTION DETECTED,Background Subtraction (KNN),39,39
2026-07-09 09:59:26.894,778,MOTION DETECTED,Background Subtraction (KNN),30,30
2026-07-09 09:59:26.931,779,MOTION DETECTED,Background Subtraction (KNN),36,36
2026-07-09 09:59:26.962,780,MOTION DETECTED,Background Subtraction (KNN),35,35
2026-07-09 09:59:26.997,781,MOTION DETECTED,Background Subtraction (KNN),36,36
2026-07-09 09:59:27.050,782,MOTION DETECTED,Background Subtraction (KNN),34,34
2026-07-09 09:59:27.091,783,MOTION DETECTED,Background Subtraction (KNN),35,35
2026-07-09 09:59:27.125,784,MOTION DETECTED,Background Subtraction (KNN),32,32
2026-07-09 09:59:27.169,785,MOTION DETECTED,Background Subtraction (KNN),30,30
2026-07-09 09:59:27.212,786,MOTION DETECTED,Background Subtraction (KNN),32,32
2026-07-09 09:59:27.259,787,MOTION DETECTED,Background Subtraction (KNN),37,37
2026-07-09 09:59:27.303,788,MOTION DETECTED,Background Subtraction (KNN),37,37
2026-07-09 09:59:27.342,789,MOTION DETECTED,Background Subtraction (KNN),37,37
2026-07-09 09:59:27.434,790,MOTION DETECTED,Background Subtraction (KNN),38,38
2026-07-09 09:59:27.477,791,MOTION DETECTED,Background Subtraction (KNN),37,37
2026-07-09 09:59:27.514,792,MOTION DETECTED,Background Subtraction (KNN),38,38
2026-07-09 09:59:27.559,793,MOTION DETECTED,Background Subtraction (KNN),39,39
2026-07-09 09:59:27.608,794,MOTION DETECTED,Background Subtraction (KNN),36,36
2026-07-09 09:59:27.643,795,MOTION DETECTED,Background Subtraction (KNN),38,38
2026-07-09 09:59:27.668,796,MOTION DETECTED,Background Subtraction (KNN),35,35
2026-07-09 09:59:27.700,797,MOTION DETECTED,Background Subtraction (KNN),34,34
2026-07-09 09:59:27.751,798,MOTION DETECTED,Background Subtraction (KNN),40,40
2026-07-09 09:59:27.790,799,MOTION DETECTED,Background Subtraction (KNN),31,31
2026-07-09 09:59:27.825,800,MOTION DETECTED,Background Subtraction (KNN),34,34
2026-07-09 09:59:27.859,801,MOTION DETECTED,Background Subtraction (KNN),37,37
2026-07-09 09:59:27.900,802,MOTION DETECTED,Background Subtraction (KNN),36,36
2026-07-09 09:59:27.932,803,MOTION DETECTED,Background Subtraction (KNN),39,39
2026-07-09 09:59:27.963,804,MOTION DETECTED,Background Subtraction (KNN),43,43
2026-07-09 09:59:27.993,805,MOTION DETECTED,Background Subtraction (KNN),46,46
2026-07-09 09:59:28.033,806,MOTION DETECTED,Background Subtraction (KNN),46,46
2026-07-09 09:59:28.070,807,MOTION DETECTED,Background Subtraction (KNN),45,45
2026-07-09 09:59:28.104,808,MOTION DETECTED,Background Subtraction (KNN),43,43
2026-07-09 09:59:28.141,809,MOTION DETECTED,Background Subtraction (KNN),46,46
2026-07-09 09:59:28.174,810,MOTION DETECTED,Background Subtraction (KNN),46,46
2026-07-09 09:59:28.220,811,MOTION DETECTED,Background Subtraction (KNN),43,43
2026-07-09 09:59:28.253,812,MOTION DETECTED,Background Subtraction (KNN),44,44
2026-07-09 09:59:28.286,813,MOTION DETECTED,Background Subtraction (KNN),40,40
2026-07-09 09:59:28.318,814,MOTION DETECTED,Background Subtraction (KNN),39,39
2026-07-09 09:59:28.348,815,MOTION DETECTED,Background Subtraction (KNN),35,35
2026-07-09 09:59:28.377,816,MOTION DETECTED,Background Subtraction (KNN),32,32
2026-07-09 09:59:28.411,817,MOTION DETECTED,Background Subtraction (KNN),32,32
2026-07-09 09:59:28.444,818,MOTION DETECTED,Background Subtraction (KNN),32,32
2026-07-09 09:59:28.476,819,MOTION DETECTED,Background Subtraction (KNN),32,32
2026-07-09 09:59:28.516,820,MOTION DETECTED,Background Subtraction (KNN),35,35
2026-07-09 09:59:28.546,821,MOTION DETECTED,Background Subtraction (KNN),33,33
2026-07-09 09:59:28.582,822,MOTION DETECTED,Background Subtraction (KNN),32,32
2026-07-09 09:59:28.612,823,MOTION DETECTED,Background Subtraction (KNN),32,32
2026-07-09 09:59:28.647,824,MOTION DETECTED,Background Subtraction (KNN),31,31
2026-07-09 09:59:28.681,825,MOTION DETECTED,Background Subtraction (KNN),30,30
2026-07-09 09:59:28.719,826,MOTION DETECTED,Background Subtraction (KNN),29,29
2026-07-09 09:59:28.748,827,MOTION DETECTED,Background Subtraction (KNN),30,30
2026-07-09 09:59:28.774,828,MOTION DETECTED,Background Subtraction (KNN),31,31
2026-07-09 09:59:28.807,829,MOTION DETECTED,Background Subtraction (KNN),31,31
2026-07-09 09:59:28.844,830,MOTION DETECTED,Background Subtraction (KNN),33,33
2026-07-09 09:59:28.881,831,MOTION DETECTED,Background Subtraction (KNN),35,35
2026-07-09 09:59:28.921,832,MOTION DETECTED,Background Subtraction (KNN),31,31
2026-07-09 09:59:28.955,833,MOTION DETECTED,Background Subtraction (KNN),30,30
2026-07-09 09:59:28.990,834,MOTION DETECTED,Background Subtraction (KNN),30,30
2026-07-09 09:59:29.023,835,MOTION DETECTED,Background Subtraction (KNN),30,30
2026-07-09 09:59:29.059,836,MOTION DETECTED,Background Subtraction (KNN),30,30
2026-07-09 09:59:29.093,837,MOTION DETECTED,Background Subtraction (KNN),29,29
