timestamp,frame_number,status,method,contour_count,person_count
2026-07-09 09:46:31.193,73,MOTION DETECTED,Background Subtraction (MOG2),33,33
2026-07-09 09:46:31.233,74,MOTION DETECTED,Background Subtraction (MOG2),39,39
2026-07-09 09:46:31.277,75,MOTION DETECTED,Background Subtraction (MOG2),40,40
2026-07-09 09:46:31.309,76,MOTION DETECTED,Background Subtraction (MOG2),35,35
2026-07-09 09:46:31.347,77,MOTION DETECTED,Background Subtraction (MOG2),32,32
2026-07-09 09:46:31.380,78,MOTION DETECTED,Background Subtraction (MOG2),32,32
2026-07-09 09:46:31.446,79,MOTION DETECTED,Background Subtraction (MOG2),32,32
2026-07-09 09:46:31.479,80,MOTION DETECTED,Background Subtraction (MOG2),33,33
2026-07-09 09:46:31.528,81,MOTION DETECTED,Background Subtraction (MOG2),36,36
2026-07-09 09:46:31.598,82,MOTION DETECTED,Background Subtraction (MOG2),41,41
2026-07-09 09:46:31.631,83,MOTION DETECTED,Background Subtraction (MOG2),43,43
2026-07-09 09:46:31.674,84,MOTION DETECTED,Background Subtraction (MOG2),40,40
2026-07-09 09:46:31.714,85,MOTION DETECTED,Background Subtraction (MOG2),43,43
2026-07-09 09:46:31.748,86,MOTION DETECTED,Background Subtraction (MOG2),38,38
2026-07-09 09:46:31.825,87,MOTION DETECTED,Background Subtraction (MOG2),41,41
2026-07-09 09:46:31.863,88,MOTION DETECTED,Background Subtraction (MOG2),42,42
2026-07-09 09:46:31.912,89,MOTION DETECTED,Background Subtraction (MOG2),34,34
2026-07-09 09:46:31.951,90,MOTION DETECTED,Background Subtraction (MOG2),34,34
2026-07-09 09:46:32.014,91,MOTION DETECTED,Background Subtraction (MOG2),35,35
2026-07-09 09:46:32.054,92,MOTION DETECTED,Background Subtraction (MOG2),44,44
2026-07-09 09:46:32.100,93,MOTION DETECTED,Background Subtraction (MOG2),45,45
2026-07-09 09:46:32.150,94,MOTION DETECTED,Background Subtraction (MOG2),43,43
2026-07-09 09:46:32.222,95,MOTION DETECTED,Background Subtraction (MOG2),41,41
2026-07-09 09:46:32.255,96,MOTION DETECTED,Background Subtraction (MOG2),40,40
2026-07-09 09:46:32.298,97,MOTION DETECTED,Background Subtraction (MOG2),46,46
2026-07-09 09:46:32.375,98,MOTION DETECTED,Background Subtraction (MOG2),42,42
2026-07-09 09:46:32.410,99,MOTION DETECTED,Background Subtraction (MOG2),45,45
2026-07-09 09:46:32.452,100,MOTION DETECTED,Background Subtraction (MOG2),41,41
2026-07-09 09:46:32.484,101,MOTION DETECTED,Background Subtraction (MOG2),38,38
2026-07-09 09:46:32.531,102,MOTION DETECTED,Background Subtraction (MOG2),38,38
2026-07-09 09:46:32.581,103,MOTION DETECTED,Background Subtraction (MOG2),33,33
2026-07-09 09:46:32.637,104,MOTION DETECTED,Background Subtraction (MOG2),32,32
2026-07-09 09:46:32.674,105,MOTION DETECTED,Background Subtraction (MOG2),33,33
2026-07-09 09:46:32.715,106,MOTION DETECTED,Background Subtraction (MOG2),34,34
2026-07-09 09:46:32.754,107,MOTION DETECTED,Background Subtraction (MOG2),36,36
2026-07-09 09:46:32.787,108,MOTION DETECTED,Background Subtraction (MOG2),44,44
